FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09113499,3927,2021,1,1,0,0,2,2021-01-01T00:00:00Z
ECO09113499,3927,2021,1,1,1,0,3,2021-01-01T01:00:00Z
ECO09113499,3927,2021,1,1,2,0,4,2021-01-01T02:00:00Z
ECO09113499,3927,2021,1,1,3,0,2,2021-01-01T03:00:00Z
ECO09113499,3927,2021,1,1,4,0,3,2021-01-01T04:00:00Z
ECO09113499,3927,2021,1,1,5,0,0,2021-01-01T05:00:00Z
ECO09113499,3927,2021,1,1,6,0,2,2021-01-01T06:00:00Z
ECO09113499,3927,2021,1,1,7,0,0,2021-01-01T07:00:00Z
ECO09113499,3927,2021,1,1,8,0,3,2021-01-01T08:00:00Z
ECO09113499,3927,2021,1,1,9,0,6,2021-01-01T09:00:00Z
ECO09113499,3927,2021,1,1,10,0,9,2021-01-01T10:00:00Z
ECO09113499,3927,2021,1,1,11,0,10,2021-01-01T11:00:00Z
ECO09113499,3927,2021,1,1,12,0,12,2021-01-01T12:00:00Z
ECO09113499,3927,2021,1,1,13,0,16,2021-01-01T13:00:00Z
ECO09113499,3927,2021,1,1,14,0,19,2021-01-01T14:00:00Z
ECO09113499,3927,2021,1,1,15,0,28,2021-01-01T15:00:00Z
ECO09113499,3927,2021,1,1,16,0,20,2021-01-01T16:00:00Z
ECO09113499,3927,2021,1,1,17,0,11,2021-01-01T17:00:00Z
ECO09113499,3927,2021,1,1,18,0,6,2021-01-01T18:00:00Z
ECO09113499,3927,2021,1,1,19,0,2,2021-01-01T19:00:00Z
ECO09113499,3927,2021,1,1,20,0,0,2021-01-01T20:00:00Z
ECO09113499,3927,2021,1,1,21,0,1,2021-01-01T21:00:00Z
ECO09113499,3927,2021,1,1,22,0,2,2021-01-01T22:00:00Z
ECO09113499,3927,2021,1,1,23,0,0,2021-01-01T23:00:00Z
ECO09113499,3927,2021,1,2,0,0,0,2021-01-02T00:00:00Z
ECO09113499,3927,2021,1,2,1,0,0,2021-01-02T01:00:00Z
ECO09113499,3927,2021,1,2,2,0,0,2021-01-02T02:00:00Z
ECO09113499,3927,2021,1,2,3,0,0,2021-01-02T03:00:00Z
ECO09113499,3927,2021,1,2,4,0,0,2021-01-02T04:00:00Z
ECO09113499,3927,2021,1,2,5,0,0,2021-01-02T05:00:00Z
ECO09113499,3927,2021,1,2,6,0,1,2021-01-02T06:00:00Z
ECO09113499,3927,2021,1,2,7,0,6,2021-01-02T07:00:00Z
ECO09113499,3927,2021,1,2,8,0,2,2021-01-02T08:00:00Z
ECO09113499,3927,2021,1,2,9,0,20,2021-01-02T09:00:00Z
ECO09113499,3927,2021,1,2,10,0,8,2021-01-02T10:00:00Z
ECO09113499,3927,2021,1,2,11,0,12,2021-01-02T11:00:00Z
ECO09113499,3927,2021,1,2,12,0,21,2021-01-02T12:00:00Z
ECO09113499,3927,2021,1,2,13,0,20,2021-01-02T13:00:00Z
ECO09113499,3927,2021,1,2,14,0,27,2021-01-02T14:00:00Z
ECO09113499,3927,2021,1,2,15,0,31,2021-01-02T15:00:00Z
ECO09113499,3927,2021,1,2,16,0,14,2021-01-02T16:00:00Z
ECO09113499,3927,2021,1,2,17,0,12,2021-01-02T17:00:00Z
ECO09113499,3927,2021,1,2,18,0,2,2021-01-02T18:00:00Z
ECO09113499,3927,2021,1,2,19,0,2,2021-01-02T19:00:00Z
ECO09113499,3927,2021,1,2,20,0,3,2021-01-02T20:00:00Z
ECO09113499,3927,2021,1,2,21,0,4,2021-01-02T21:00:00Z
ECO09113499,3927,2021,1,2,22,0,6,2021-01-02T22:00:00Z
ECO09113499,3927,2021,1,2,23,0,2,2021-01-02T23:00:00Z
ECO09113499,3927,2021,1,3,0,0,0,2021-01-03T00:00:00Z
ECO09113499,3927,2021,1,3,1,0,0,2021-01-03T01:00:00Z
ECO09113499,3927,2021,1,3,2,0,0,2021-01-03T02:00:00Z
ECO09113499,3927,2021,1,3,3,0,0,2021-01-03T03:00:00Z
ECO09113499,3927,2021,1,3,4,0,0,2021-01-03T04:00:00Z
ECO09113499,3927,2021,1,3,5,0,0,2021-01-03T05:00:00Z
ECO09113499,3927,2021,1,3,6,0,1,2021-01-03T06:00:00Z
