"date","year","month","day","weeknr","total_fahrzeug","total_oev","total_fuss","total_velo","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","pm25","temperature","precipitation","total_transport"
2014-12-29,2014,12,29,1,755854,,,,,,,,,,,,3.8,49.2,755854
2015-01-05,2015,1,5,2,1870900,,248886,208031,,,,,,,,,3.1,67.9,2327817
2015-01-12,2015,1,12,3,1935041,,237961,204939,,,,,,,,,3.1,67.9,2377941
2015-01-19,2015,1,19,4,1933862,,231793,199398,,,,,,,,,3.1,67.9,2365053
2015-01-26,2015,1,26,5,1941044,,220114,186702,,,,,,,,,3.1,67.9,2347860
2015-02-02,2015,2,2,6,1995734,,248603,190017,,,,,,,,,1.6,25.4,2434354
2015-02-09,2015,2,9,7,2000931,,271989,203556,,,,,,,,,1.6,25.4,2476476
2015-02-16,2015,2,16,8,1905744,,249191,178667,,,,,,,,,1.6,25.4,2333602
2015-02-23,2015,2,23,9,1915484,,418760,150461,,,,,,,,,1.6,25.4,2484705
2015-03-02,2015,3,2,10,2033637,,287561,238374,,,,,,,,,7.4,31.3,2559572
2015-03-09,2015,3,9,11,2028485,,306753,286015,,,,,,,,,7.4,31.3,2621253
2015-03-16,2015,3,16,12,2103519,,310726,312955,,,,,,,,,7.4,31.3,2727200
2015-03-23,2015,3,23,13,2086070,,276894,287802,,,,,,,,,7.4,31.3,2650766
2015-03-30,2015,3,30,14,1829636,,215143,157402,,,,,,,,,7.4,31.3,2202181
2015-04-06,2015,4,6,15,1838942,,295209,237602,,,,,,,,,11.2,87.6,2371753
2015-04-13,2015,4,13,16,2048249,,298989,305195,,,,,,,,,11.2,87.6,2652433
2015-04-20,2015,4,20,17,2050607,,307323,325991,,,,,,,,,11.2,87.6,2683921
2015-04-27,2015,4,27,18,1931670,,243267,221233,,,,,,,,,11.2,87.6,2396170
2015-05-04,2015,5,4,19,2074470,,299142,302400,,,,,,,,,15,92.1,2676012
2015-05-11,2015,5,11,20,1804527,,266912,260438,,,,,,,,,15,92.1,2331877
2015-05-18,2015,5,18,21,1951682,,272600,294192,,,,,,,,,15,92.1,2518474
2015-05-25,2015,5,25,22,1862616,,279259,289312,,,,,,,,,15,92.1,2431187
2015-06-01,2015,6,1,23,1933439,,294016,352865,,,,,,,,,18.7,94.5,2580320
