"date","year","month","day","weeknr","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","pm25","temperature","precipitation","mode","total_per_mode"
2014-12-29,2014,12,29,1,,,,,,,,,3.8,49.2,"total_fahrzeug",755854
2014-12-29,2014,12,29,1,,,,,,,,,3.8,49.2,"total_oev",
2014-12-29,2014,12,29,1,,,,,,,,,3.8,49.2,"total_fuss",
2014-12-29,2014,12,29,1,,,,,,,,,3.8,49.2,"total_velo",
2015-01-05,2015,1,5,2,,,,,,,,,3.1,67.9,"total_fahrzeug",1870900
2015-01-05,2015,1,5,2,,,,,,,,,3.1,67.9,"total_oev",
2015-01-05,2015,1,5,2,,,,,,,,,3.1,67.9,"total_fuss",248886
2015-01-05,2015,1,5,2,,,,,,,,,3.1,67.9,"total_velo",208031
2015-01-12,2015,1,12,3,,,,,,,,,3.1,67.9,"total_fahrzeug",1935041
2015-01-12,2015,1,12,3,,,,,,,,,3.1,67.9,"total_oev",
2015-01-12,2015,1,12,3,,,,,,,,,3.1,67.9,"total_fuss",237961
2015-01-12,2015,1,12,3,,,,,,,,,3.1,67.9,"total_velo",204939
2015-01-19,2015,1,19,4,,,,,,,,,3.1,67.9,"total_fahrzeug",1933862
2015-01-19,2015,1,19,4,,,,,,,,,3.1,67.9,"total_oev",
2015-01-19,2015,1,19,4,,,,,,,,,3.1,67.9,"total_fuss",231793
2015-01-19,2015,1,19,4,,,,,,,,,3.1,67.9,"total_velo",199398
2015-01-26,2015,1,26,5,,,,,,,,,3.1,67.9,"total_fahrzeug",1941044
2015-01-26,2015,1,26,5,,,,,,,,,3.1,67.9,"total_oev",
2015-01-26,2015,1,26,5,,,,,,,,,3.1,67.9,"total_fuss",220114
2015-01-26,2015,1,26,5,,,,,,,,,3.1,67.9,"total_velo",186702
2015-02-02,2015,2,2,6,,,,,,,,,1.6,25.4,"total_fahrzeug",1995734
2015-02-02,2015,2,2,6,,,,,,,,,1.6,25.4,"total_oev",
2015-02-02,2015,2,2,6,,,,,,,,,1.6,25.4,"total_fuss",248603
2015-02-02,2015,2,2,6,,,,,,,,,1.6,25.4,"total_velo",190017
2015-02-09,2015,2,9,7,,,,,,,,,1.6,25.4,"total_fahrzeug",2000931
2015-02-09,2015,2,9,7,,,,,,,,,1.6,25.4,"total_oev",
2015-02-09,2015,2,9,7,,,,,,,,,1.6,25.4,"total_fuss",271989
2015-02-09,2015,2,9,7,,,,,,,,,1.6,25.4,"total_velo",203556
2015-02-16,2015,2,16,8,,,,,,,,,1.6,25.4,"total_fahrzeug",1905744
2015-02-16,2015,2,16,8,,,,,,,,,1.6,25.4,"total_oev",
2015-02-16,2015,2,16,8,,,,,,,,,1.6,25.4,"total_fuss",249191
2015-02-16,2015,2,16,8,,,,,,,,,1.6,25.4,"total_velo",178667
2015-02-23,2015,2,23,9,,,,,,,,,1.6,25.4,"total_fahrzeug",1915484
2015-02-23,2015,2,23,9,,,,,,,,,1.6,25.4,"total_oev",
2015-02-23,2015,2,23,9,,,,,,,,,1.6,25.4,"total_fuss",418760
2015-02-23,2015,2,23,9,,,,,,,,,1.6,25.4,"total_velo",150461
2015-03-02,2015,3,2,10,,,,,,,,,7.4,31.3,"total_fahrzeug",2033637
2015-03-02,2015,3,2,10,,,,,,,,,7.4,31.3,"total_oev",
2015-03-02,2015,3,2,10,,,,,,,,,7.4,31.3,"total_fuss",287561
2015-03-02,2015,3,2,10,,,,,,,,,7.4,31.3,"total_velo",238374
2015-03-09,2015,3,9,11,,,,,,,,,7.4,31.3,"total_fahrzeug",2028485
2015-03-09,2015,3,9,11,,,,,,,,,7.4,31.3,"total_oev",
2015-03-09,2015,3,9,11,,,,,,,,,7.4,31.3,"total_fuss",306753
2015-03-09,2015,3,9,11,,,,,,,,,7.4,31.3,"total_velo",286015
2015-03-16,2015,3,16,12,,,,,,,,,7.4,31.3,"total_fahrzeug",2103519
2015-03-16,2015,3,16,12,,,,,,,,,7.4,31.3,"total_oev",
2015-03-16,2015,3,16,12,,,,,,,,,7.4,31.3,"total_fuss",310726
2015-03-16,2015,3,16,12,,,,,,,,,7.4,31.3,"total_velo",312955
2015-03-23,2015,3,23,13,,,,,,,,,7.4,31.3,"total_fahrzeug",2086070
2015-03-23,2015,3,23,13,,,,,,,,,7.4,31.3,"total_oev",
2015-03-23,2015,3,23,13,,,,,,,,,7.4,31.3,"total_fuss",276894
2015-03-23,2015,3,23,13,,,,,,,,,7.4,31.3,"total_velo",287802
2015-03-30,2015,3,30,14,,,,,,,,,7.4,31.3,"total_fahrzeug",1829636
2015-03-30,2015,3,30,14,,,,,,,,,7.4,31.3,"total_oev",
2015-03-30,2015,3,30,14,,,,,,,,,7.4,31.3,"total_fuss",215143
2015-03-30,2015,3,30,14,,,,,,,,,7.4,31.3,"total_velo",157402
2015-04-06,2015,4,6,15,,,,,,,,,11.2,87.6,"total_fahrzeug",1838942
2015-04-06,2015,4,6,15,,,,,,,,,11.2,87.6,"total_oev",
2015-04-06,2015,4,6,15,,,,,,,,,11.2,87.6,"total_fuss",295209
2015-04-06,2015,4,6,15,,,,,,,,,11.2,87.6,"total_velo",237602
2015-04-13,2015,4,13,16,,,,,,,,,11.2,87.6,"total_fahrzeug",2048249
2015-04-13,2015,4,13,16,,,,,,,,,11.2,87.6,"total_oev",
2015-04-13,2015,4,13,16,,,,,,,,,11.2,87.6,"total_fuss",298989
2015-04-13,2015,4,13,16,,,,,,,,,11.2,87.6,"total_velo",305195
2015-04-20,2015,4,20,17,,,,,,,,,11.2,87.6,"total_fahrzeug",2050607
2015-04-20,2015,4,20,17,,,,,,,,,11.2,87.6,"total_oev",
2015-04-20,2015,4,20,17,,,,,,,,,11.2,87.6,"total_fuss",307323
2015-04-20,2015,4,20,17,,,,,,,,,11.2,87.6,"total_velo",325991
2015-04-27,2015,4,27,18,,,,,,,,,11.2,87.6,"total_fahrzeug",1931670
2015-04-27,2015,4,27,18,,,,,,,,,11.2,87.6,"total_oev",
2015-04-27,2015,4,27,18,,,,,,,,,11.2,87.6,"total_fuss",243267
2015-04-27,2015,4,27,18,,,,,,,,,11.2,87.6,"total_velo",221233
2015-05-04,2015,5,4,19,,,,,,,,,15,92.1,"total_fahrzeug",2074470
2015-05-04,2015,5,4,19,,,,,,,,,15,92.1,"total_oev",
2015-05-04,2015,5,4,19,,,,,,,,,15,92.1,"total_fuss",299142
2015-05-04,2015,5,4,19,,,,,,,,,15,92.1,"total_velo",302400
2015-05-11,2015,5,11,20,,,,,,,,,15,92.1,"total_fahrzeug",1804527
2015-05-11,2015,5,11,20,,,,,,,,,15,92.1,"total_oev",
2015-05-11,2015,5,11,20,,,,,,,,,15,92.1,"total_fuss",266912
2015-05-11,2015,5,11,20,,,,,,,,,15,92.1,"total_velo",260438
2015-05-18,2015,5,18,21,,,,,,,,,15,92.1,"total_fahrzeug",1951682
2015-05-18,2015,5,18,21,,,,,,,,,15,92.1,"total_oev",
2015-05-18,2015,5,18,21,,,,,,,,,15,92.1,"total_fuss",272600
2015-05-18,2015,5,18,21,,,,,,,,,15,92.1,"total_velo",294192
2015-05-25,2015,5,25,22,,,,,,,,,15,92.1,"total_fahrzeug",1862616
2015-05-25,2015,5,25,22,,,,,,,,,15,92.1,"total_oev",
2015-05-25,2015,5,25,22,,,,,,,,,15,92.1,"total_fuss",279259
2015-05-25,2015,5,25,22,,,,,,,,,15,92.1,"total_velo",289312
2015-06-01,2015,6,1,23,,,,,,,,,18.7,94.5,"total_fahrzeug",1933439
2015-06-01,2015,6,1,23,,,,,,,,,18.7,94.5,"total_oev",
2015-06-01,2015,6,1,23,,,,,,,,,18.7,94.5,"total_fuss",294016
2015-06-01,2015,6,1,23,,,,,,,,,18.7,94.5,"total_velo",352865
2015-06-08,2015,6,8,24,,,,,,,,,18.7,94.5,"total_fahrzeug",1977080
2015-06-08,2015,6,8,24,,,,,,,,,18.7,94.5,"total_oev",
2015-06-08,2015,6,8,24,,,,,,,,,18.7,94.5,"total_fuss",281801
2015-06-08,2015,6,8,24,,,,,,,,,18.7,94.5,"total_velo",322970
2015-06-15,2015,6,15,25,,,,,,,,,18.7,94.5,"total_fahrzeug",2060240
2015-06-15,2015,6,15,25,,,,,,,,,18.7,94.5,"total_oev",
2015-06-15,2015,6,15,25,,,,,,,,,18.7,94.5,"total_fuss",289583
2015-06-15,2015,6,15,25,,,,,,,,,18.7,94.5,"total_velo",269442
2015-06-22,2015,6,22,26,,,,,,,,,18.7,94.5,"total_fahrzeug",1931278
2015-06-22,2015,6,22,26,,,,,,,,,18.7,94.5,"total_oev",
2015-06-22,2015,6,22,26,,,,,,,,,18.7,94.5,"total_fuss",314290
2015-06-22,2015,6,22,26,,,,,,,,,18.7,94.5,"total_velo",336274
2015-06-29,2015,6,29,27,,,,,,,,,18.7,94.5,"total_fahrzeug",1878975
2015-06-29,2015,6,29,27,,,,,,,,,18.7,94.5,"total_oev",
2015-06-29,2015,6,29,27,,,,,,,,,18.7,94.5,"total_fuss",265662
2015-06-29,2015,6,29,27,,,,,,,,,18.7,94.5,"total_velo",349811
2015-07-06,2015,7,6,28,,,,,,,,,23.2,22.9,"total_fahrzeug",1768713
2015-07-06,2015,7,6,28,,,,,,,,,23.2,22.9,"total_oev",
2015-07-06,2015,7,6,28,,,,,,,,,23.2,22.9,"total_fuss",252038
2015-07-06,2015,7,6,28,,,,,,,,,23.2,22.9,"total_velo",283816
2015-07-13,2015,7,13,29,,,,,,,,,23.2,22.9,"total_fahrzeug",1707315
2015-07-13,2015,7,13,29,,,,,,,,,23.2,22.9,"total_oev",
2015-07-13,2015,7,13,29,,,,,,,,,23.2,22.9,"total_fuss",265544
2015-07-13,2015,7,13,29,,,,,,,,,23.2,22.9,"total_velo",286924
2015-07-20,2015,7,20,30,,,,,,,,,23.2,22.9,"total_fahrzeug",1788913
2015-07-20,2015,7,20,30,,,,,,,,,23.2,22.9,"total_oev",
2015-07-20,2015,7,20,30,,,,,,,,,23.2,22.9,"total_fuss",292236
2015-07-20,2015,7,20,30,,,,,,,,,23.2,22.9,"total_velo",274850
2015-07-27,2015,7,27,31,,,,,,,,,23.2,22.9,"total_fahrzeug",1758633
2015-07-27,2015,7,27,31,,,,,,,,,23.2,22.9,"total_oev",
