"year","month","total_fahrzeug","year_month","total_oev","total_fuss","total_velo","temperature","precipitation","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","stringency_index","containment_health_index"
2015,1,8251573,2015-01-01,,920121,787443,3.1,67.9,,,,,,,,,
2015,2,7811800,2015-02-01,,1188195,721961,1.6,25.4,,,,,,,,,
2015,3,9056240,2015-03-01,,1272319,1203147,7.4,31.3,,,,,,,,,
2015,4,8433669,2015-04-01,,1202894,1139492,11.2,87.6,,,,,,,,,
2015,5,8343536,2015-05-01,,1203255,1188460,15,92.1,,,,,,,,,
2015,6,8485696,2015-06-01,,1261928,1396150,18.7,94.5,,,,,,,,,
2015,7,7952409,2015-07-01,,1195281,1290166,23.2,22.9,,,,,,,,,
2015,8,8401497,2015-08-01,,1108911,1345749,21,73.7,,,,,,,,,
2015,9,8778707,2015-09-01,,1178979,1422543,14.4,49,,,,,,,,,
2015,10,9257625,2015-10-01,,1216482,1248218,10.2,36,,,,,,,,,
2015,11,9202184,2015-11-01,,1085948,1141828,8.7,48.9,,,,,,,,,
2015,12,9262910,2015-12-01,,1246554,951641,5.5,16,,,,,,,,,
2016,1,9450802,2016-01-01,,1021928,1006098,3.7,131.9,,,,,,,,,
2016,2,9039685,2016-02-01,,1107894,948456,5.2,86.1,,,,,,,,,
2016,3,9862968,2016-03-01,,1349772,1176627,5.7,37.8,,,,,,,,,
2016,4,9876035,2016-04-01,,1322530,1402146,9.7,144.8,,,,,,,,,
2016,5,9366270,2016-05-01,,1405167,1499403,13.9,154.7,,,,,,,,,
2016,6,9480130,2016-06-01,,1387527,1576596,17.7,176.2,,,,,,,,,
2016,7,8496668,2016-07-01,,1323049,1540287,20.7,35.7,,,,,,,,,
2016,8,8535398,2016-08-01,,1442211,1704037,20.3,69.2,,,,,,,,,
2016,9,8649099,2016-09-01,,1487081,1560208,17.8,44.7,,,,,,,,,
2016,10,9358552,2016-10-01,,1547153,1212854,9.6,57.7,,,,,,,,,
2016,11,9424815,2016-11-01,,1662192,1211166,5.9,54.7,,,,,,,,,
2016,12,9201008,2016-12-01,,1630558,973520,1,3.3,,,,,,,,,
2017,1,8591329,2017-01-01,,1353753,813052,-1.7,38.5,,,,,,,,,
2017,2,7445601,2017-02-01,,1386829,1010831,5.5,59,,,,,,,,,
2017,3,8626999,2017-03-01,,1909503,1353720,9.6,36.4,,,,,,,,,
2017,4,8674648,2017-04-01,,1582397,1303979,9.9,66.2,,,,,,,,,
2017,5,8771446,2017-05-01,,1745615,1636085,15.8,112.7,,,,,,,,,
2017,6,8641063,2017-06-01,,1910746,1859662,20.9,32,,,,,,,,,
2017,7,7810401,2017-07-01,,1739786,1422419,20.9,71.3,,,,,,,,,
2017,8,8275910,2017-08-01,,1581391,1711175,20.5,100.2,,,,,,,,,
2017,9,7689007,2017-09-01,,1736738,1590041,14.3,42.1,,,,,,,,,
2017,10,7543244,2017-10-01,,1789556,1493417,12.1,33.6,,,,,,,,,
2017,11,7626430,2017-11-01,,1581697,1328308,5.7,92.5,,,,,,,,,
2017,12,7827082,2017-12-01,,1550125,980826,3.1,80.7,,,,,,,,,
2018,1,8741091,2018-01-01,,1436525,1068864,6.3,117.3,,,,,,,,,
2018,2,7783266,2018-02-01,,1376629,858357,0.3,34.5,,,,,,,,,
2018,3,8948224,2018-03-01,,1417840,1204890,5.2,47.7,,,,,,,,,
2018,4,8417956,2018-04-01,,1470021,1458796,14.2,15,,,,,,,,,
2018,5,8480877,2018-05-01,,1420121,1589390,16.3,127.2,,,,,,,,,
