date,year,month,day,weeknr,total_fahrzeug,total_oev,total_fuss,total_velo,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid_cases_bs,pm25,temperature,precipitation,total_transport
2014-12-29T00:00:00Z,2014,12,29,1,755854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,49.2,755854
2015-01-05T00:00:00Z,2015,1,5,2,1870900,NA,248886,208031,NA,NA,NA,NA,NA,NA,NA,NA,3.1,67.9,2327817
2015-01-12T00:00:00Z,2015,1,12,3,1935041,NA,237961,204939,NA,NA,NA,NA,NA,NA,NA,NA,3.1,67.9,2377941
2015-01-19T00:00:00Z,2015,1,19,4,1933862,NA,231793,199398,NA,NA,NA,NA,NA,NA,NA,NA,3.1,67.9,2365053
2015-01-26T00:00:00Z,2015,1,26,5,1941044,NA,220114,186702,NA,NA,NA,NA,NA,NA,NA,NA,3.1,67.9,2347860
2015-02-02T00:00:00Z,2015,2,2,6,1995734,NA,248603,190017,NA,NA,NA,NA,NA,NA,NA,NA,1.6,25.4,2434354
2015-02-09T00:00:00Z,2015,2,9,7,2000931,NA,271989,203556,NA,NA,NA,NA,NA,NA,NA,NA,1.6,25.4,2476476
2015-02-16T00:00:00Z,2015,2,16,8,1905744,NA,249191,178667,NA,NA,NA,NA,NA,NA,NA,NA,1.6,25.4,2333602
2015-02-23T00:00:00Z,2015,2,23,9,1915484,NA,418760,150461,NA,NA,NA,NA,NA,NA,NA,NA,1.6,25.4,2484705
2015-03-02T00:00:00Z,2015,3,2,10,2033637,NA,287561,238374,NA,NA,NA,NA,NA,NA,NA,NA,7.4,31.3,2559572
2015-03-09T00:00:00Z,2015,3,9,11,2028485,NA,306753,286015,NA,NA,NA,NA,NA,NA,NA,NA,7.4,31.3,2621253
2015-03-16T00:00:00Z,2015,3,16,12,2103519,NA,310726,312955,NA,NA,NA,NA,NA,NA,NA,NA,7.4,31.3,2727200
2015-03-23T00:00:00Z,2015,3,23,13,2086070,NA,276894,287802,NA,NA,NA,NA,NA,NA,NA,NA,7.4,31.3,2650766
2015-03-30T00:00:00Z,2015,3,30,14,1829636,NA,215143,157402,NA,NA,NA,NA,NA,NA,NA,NA,7.4,31.3,2202181
2015-04-06T00:00:00Z,2015,4,6,15,1838942,NA,295209,237602,NA,NA,NA,NA,NA,NA,NA,NA,11.2,87.6,2371753
2015-04-13T00:00:00Z,2015,4,13,16,2048249,NA,298989,305195,NA,NA,NA,NA,NA,NA,NA,NA,11.2,87.6,2652433
