"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"1",70,"Schwarzwaldbrücke A2",47.557261,7.614448,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV+Velo/Moto","Induktionsschlaufen","Hochleistungsstrasse (HLS)","Kanton Basel-Stadt","1974-01-01 01:00:00+01:00","ausser Betrieb",,"xlsx"
"15",336,"Im langen Loh 2",47.556607,7.564737,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Induktionsschlaufen LSA","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-04-01 02:00:00+02:00","in Betrieb",,"xlsx"
"16",350,"Dreirosenbrücke lokal (mit Ein-/Ausfahrten)",47.570818,7.583439,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV+Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2012-09-01 02:00:00+02:00","in Betrieb",,"xlsx"
"17",352,"Johanniterbrücke",47.565454,7.587549,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2004-07-01 02:00:00+02:00","in Betrieb",,"xlsx"
"21",403,"Heuwaage-Viadukt",47.552248,7.586686,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV+Velo/Moto","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2001-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"26",408,"Bäumlihofstrasse (Riehen)",47.570357,7.628495,"Riehen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"66",901,"Peter-Merian Weg",0,0,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-09-21 02:00:00+02:00","in Betrieb",,"xlsx"
"68",903,"Äussere Baselstrasse 381 (Riehen)",47.572504,7.624332,"Riehen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-10-07 02:00:00+02:00","in Betrieb",,"xlsx"
"70",905,"Leimenstrasse 4",47.555276,7.583835,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-06-09 02:00:00+02:00","in Betrieb",,"xlsx"
"72",908,"Grenzacherstrasse (Kraftwerk)",47.562152,7.625923,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-09-30 02:00:00+02:00","in Betrieb",,"xlsx"
"75",911,"Birskopfsteg",47.557301,7.617711,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"Velo/Moto+Fuss","Induktionsschlaufen","Andere","Kanton Basel-Stadt","2012-10-01 02:00:00+02:00","in Betrieb",,"xlsx"
"84",100257,"A2 Anschluss Wiese, Kleinhüningen",47.577295,7.598633,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hochleistungsstrasse (HLS)","BUND","2008-10-01 02:00:00+02:00","in Betrieb","https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html","xlsx"
"85",100273,"A2 Anschluss Wiese",47.57342,7.602166,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,7,"MIV","Induktionsschlaufen","Hochleistungsstrasse (HLS)","BUND","2008-09-04 02:00:00+02:00","in Betrieb","https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html","xlsx"
"105",201019,"Riehenstrasse 149",47.564853,7.605599,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-03-08 01:00:00+01:00","ausser Betrieb",,"xlsx"
"109",201023,"Lettackerweg - Grenze CH-D (Riehen)",47.594821,7.657112,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo","Handzaehlung","Andere","Deutschland","2010-05-18 02:00:00+02:00","ausser Betrieb",,"pdf"
"130",201622,"Hegenheimermattweg 202 (Allschwil)",47.562969,7.556571,"Allschwil","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptsammelstrasse (HSS)","Kanton Basel-Land","2016-05-28 02:00:00+02:00","ausser Betrieb",,"xlsx"
"180",201521,"Bluttrainweg 20 (Riehen)",47.570266,7.636547,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-14 02:00:00+02:00","ausser Betrieb",,"xlsx"
"184",201525,"Burgstrasse 57 (Riehen)",47.579575,7.644828,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"187",201528,"Bettingerstrasse 12 (Riehen)",47.581614,7.648638,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-09-15 02:00:00+02:00","ausser Betrieb",,"xlsx"
"217",201610,"Mörsbergerstrasse",47.567392,7.59353,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-04-14 02:00:00+02:00","ausser Betrieb",,"pdf"
"219",201612,"Neuensteinerstrasse 17",47.540281,7.600872,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-04-21 02:00:00+02:00","ausser Betrieb",,"pdf"
"221",201615,"Hegenheimerstrasse 254",47.565072,7.55981,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Radar","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2016-05-28 02:00:00+02:00","ausser Betrieb",,"xlsx"
"223",201618,"Henric Petri-Str. 9a",47.552327,7.592013,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2016-06-18 02:00:00+02:00","ausser Betrieb",,"xlsx"
